A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;;En esta clase se incluye el comercio especializado al por menor de muebles y artefactos de uso doméstico, utensilios diversos de uso doméstico, cubiertos, vajilla, cristalería, objetos de porcelana y de cerámica  equipo de radio y televisión, instrumentos musicales y discos  gramofónicos, partituras y cintas con grabaciones musicales  artefactos de iluminación  cortinas y otros artículos para uso doméstico confeccionados con materiales textiles  madera, artículos de corcho y de mimbre  y aparatos, artículos y equipos de uso doméstico no clasificados en otra parte. Incluye reparaciones.
;;5333;Venta minorista de artículos de ferretería
;;;Esta clase abarca el comercio especializado al por menor de artículos de ferretería  pinturas, barnices y lacas, vidrio y artículos de vidrio, materiales de construcción  y materiales y equipos para trabajos de armado por cuenta propia.
;;5335;Venta minorista de otros productos n.c.p
;;;En esta clase se incluye la venta al por menor de combustible, carbón, leña, etc.
;;;Además incluye los almacenes de venta al por menor de una  variedad de productos nuevos entre los cuales no predominan los alimentos, las bebidas ni el tabaco.
;;;Suelen realizar este tipo de actividad los grandes almacenes con un surtido muy diverso, compuesto, por ejemplo, de prendas de vestir, muebles, aparatos de uso doméstico, artículos de ferretería, cosméticos, jabones, artículos de joyería,  relojes,   artículos deportivos (incluye bicicletas), juegos y juguetes etc.
;;;También se incluye la venta especializada al por menor de materiales y equipos de oficina, computadoras y programas de computadora de venta al público, libros, periódicos, revistas y útiles de escritorio  equipos fotográficos, ópticos y de precisión  vídeo cintas   materiales de limpieza  papel tapiz para paredes y productos para recubrimiento de pisos  flores, plantas, semillas, abonos y animales domésticos o de compañía  artículos de recuerdo y productos no alimenticios no clasificados en otra parte.
;;;Normalmente, esas mercancías se comercializan en diferentes secciones del almacén que funcionan bajo la dirección de una gerencia central.
;;5340;Venta minorista de artículos usados
;;;Esta clase incluye la venta al por menor en almacenes de artículos usados. También se incluyen las actividades de venta de artículos usados de las casas comisionistas.
;;;Excluye: La venta al por menor de vehículos automotores y motocicletas usados se clasifican en la división 50 (Venta, mantenimiento y reparación de vehículos automotores  venta de combustible para vehículos automotores).
;;5350;Venta  minorista   en   puesto   de   venta  y  mercados   servicios a domicilio
;;;Esta clase abarca la venta al por menor de productos de todo tipo en  puestos de venta, por lo general móviles, instalados al borde de una vía pública o en un lugar de mercado.
;;;Además se  incluye la venta realizada por vendedores a domicilio a cambio de una remuneración o por contrata.
;;5360;Reparación de efectos personales y enseres domésticos
;;;Esta clase incluye la reparación de efectos personales (calzado y artículos de cuero) y aparatos eléctricos de uso doméstico no relacionados con las actividades de fabricación y venta al por mayor o al por menor. Se incluye además la reparación de relojes y alhajas, prendas de vestir y artículos textiles de uso doméstico. También incluye la reparación  de bicicletas.
I;;;HOTELES Y RESTAURANTES
;;;(División 55 - 56)
;55;;HOTELES
;;5510;Hoteles, moteles y  similares
;;;En esta clase  se incluye el suministro, a cambio de una retribución, de hospedaje,  así como los servicios de restaurantes y cafeterías que se prestan en combinación con los de hospedaje.
;;;Las  actividades   de   esta   clase  son  las  que  suelen  realizar  los  hoteles,  moteles,  villas turísticas, etc.
;;;Excluye: Los servicios de coches camas prestados por empresas ferroviarias se incluyen en la clase 6010 (Transporte por vía férrea).
;;;El alquiler por tiempo prolongado de habitaciones amuebladas (por ejemplo, de apartahoteles, clasifican en la división 73 (actividades inmobiliarias).
;;5520;Otros tipos de alojamiento temporal
;;;En esta clase se incluye las actividades que se suelen realizar en el campismo, en las  casas de huéspedes  y otros tipos de hospedajes.
;56;;RESTAURANTES, CAFETERÍAS Y COMEDORES
;;5610;Restaurantes, cafeterías y comedores
;;;En esta clase se incluye la venta de comidas y bebidas preparadas para el consumo inmediato en establecimientos tales como restaurantes, bares, cafeterías, merenderos, tengan o no espectáculos. 
;;;Se incluyen los servicios de restaurantes a domicilio y de venta de comidas y bebidas preparadas que serán consumidas  fuera de los establecimientos de elaboración, así como los servicios de proveedores de alimentos para su consumo en coches comedores, naves aéreas y otros tipos de transporte. Servicios que se brindan en los comedores obreros y escolares y la preparación de comidas en unidades centrales de elaboración de alimentos.
;;;Se consideran además los encuentros culinarios.
;;;Excluye: Las actividades de venta al por menor que se realizan junto con las de suministros de hospedaje, se incluyen en la clase 5510 (Hoteles, moteles y similares).  Los servicios de coche comedor prestados por empresas ferroviarias se incluyen en la clase 6010 (Transporte por vía férrea).
J;;;TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES
;;;(División 60 - 64) 
;;;En estas divisiones se incluyen las actividades de transporte regular o no regular de pasajeros  o de carga por ferrocarril, por carretera, o por vía acuática o aérea, así como las actividades de transporte auxiliares, como los servicios de terminal y de estacionamiento, de manipulación y almacenamiento de la carga, etc.
;;;El alquiler de equipo de transporte con conductor u operarios para los distintos medios de transporte se considera una actividad relacionada con el transporte y, por lo tanto se incluye en esta sección.
;;;Excluye:   El mantenimiento, la reparación y la modificación de equipo de transporte, excepto el constituido por vehículos automotores, motocicletas, se clasifican en la división 38 (Fabricación de equipos de transporte).
;;;La construcción, conservación y reparación de carreteras, vías férreas, puertos, campos de aviación, etc. se incluyen en la clase 4520 (Construcción de edificios y obras de ingeniería civil).
;;;La reparación y conservación de vehículos automotores y la de motocicletas se incluye en la clase 5040 (Mantenimiento y reparación de vehículos automotores).
;;;El alquiler de equipo de transporte sin conductor ni  operario se incluye en la clase 7410 (Alquiler de  equipo de transporte),  y 7420 (Alquiler de otros tipos de maquinarias y equipos), según el medio de transporte que se trate.
;60;;TRANSPORTE  POR  VÍA  TERRESTRE   TRANSPORTE  POR   TUBERÍAS.
;;6010;Transporte por vía férrea 
;;;En esta clase se incluye el transporte de pasajeros y de carga por ferrocarril interurbano, también se incluyen las actividades conexas, tales como las de cambio de vías y de agujas y los servicios de coche comedor prestados por las empresas ferroviarias.
;;;Excluye: Los servicios de coche comedor, si son prestados por unidades independientes se incluyen en la clase 5610 (Restaurantes, cafeterías y comedores).
;;;El transporte suburbano por ferrocarril se incluye en la clase 6021 (Otros tipos de transporte regular de pasajeros por vía terrestre).  Las actividades relacionadas con las estaciones terminales de pasajeros  y de carga, la manipulación y el almacenamiento de la carga y demás actividades auxiliares se incluyen en la clase pertinente de la división 63 (Actividades de transporte complementarias y auxiliares  actividades de agencias de viaje).
;;;El mantenimiento y las reparaciones menores del material rodante se incluyen en la clase 6303 (Otras actividades de transporte complementarias).
;;6021;Otros tipos de transporte regular de pasajeros por vía terrestre
;;;Esta clase abarca los servicios regulares de transporte urbano, suburbano e interurbano de pasajeros que tienen itinerarios fijos y horarios con arreglo a los cuales cargan y descargan pasajeros en las paradas indicadas en esos horarios, excepto los servicios de transporte interurbano por ferrocarril.
;;;Los servicios incluidos en esta clase pueden ser prestados utilizando autobuses,  etc.  También se incluyen actividades de transporte tales como las de servicios de autobuses escolares, de enlace con aeropuertos o estaciones de ferrocarril, de autobuses de excursión., etc.
;;6022;Otros    tipos  de    transporte    no   regular de  pasajeros  por vía terrestre
;;;En esta clase se incluyen otros tipos de transporte no regular de pasajeros, por vía terrestre, como los servicios de taxímetros, el alquiler de automóviles con conductor, el flete, servicios de excursión y demás servicios ocasionales del transporte en autobuses.
;;;Además incluye el transporte de pasajeros en vehículos de tracción humana y animal.
;;;Excluye: El transporte en ambulancia se incluye en la clase 9019 (Otras actividades relacionadas con la salud).
;;6023;Transporte de carga por carretera
;;;En esta clase que abarca todos los tipos de transporte regular  o no regular de carga por carretera, se incluye en el transporte en camión de una gran variedad de mercancías, como troncos, ganados, productos refrigerados, carga pesada, carga a granel, muebles de mudanzas, etc.  También se incluyen el transporte de carga en vehículos de tracción humana y animal y el alquiler de camiones con conductor u operario.
